% # columns="iteration, evaluation, void, void, void, xmean", seed=3, Sun Apr  5 11:35:53 2026, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 8 0 0 0 -0.36170326709924305 0.1413447086586687
2 16 0 0 0 0.1674422153353572 0.03516232900747486
3 24 0 0 0 0.5195767824100863 0.19453873066897262
4 32 0 0 0 -0.33815177925293793 0.10229116246096351
5 40 0 0 0 -0.014786467231481845 0.15014939040734696
6 48 0 0 0 0.217533139990568 0.11725801534404727
7 56 0 0 0 0.34397746989604977 0.14071322629794988
8 64 0 0 0 0.2483527867228317 0.07128042525524998
9 72 0 0 0 0.3670379338716928 0.1615583863084036
10 80 0 0 0 0.3545022734850997 0.11431734217261866
11 88 0 0 0 0.4583333630011096 0.2003667219430298
12 96 0 0 0 0.5176872778755716 0.2755851476512913
13 104 0 0 0 0.5435215341958596 0.3021221062891513
14 112 0 0 0 0.5784723837840804 0.3247009165649477
15 120 0 0 0 0.5712623987609395 0.31649024251120145
16 128 0 0 0 0.5615982134913611 0.31646031461969315
17 136 0 0 0 0.5949565140057708 0.3457102381833956
18 144 0 0 0 0.6025937585982353 0.3528808100743677
19 152 0 0 0 0.6324205329499876 0.3894366647192814
20 160 0 0 0 0.6467856236304226 0.4045048513381102
21 168 0 0 0 0.6761896540204483 0.4485523625675836
22 176 0 0 0 0.7103726858863587 0.5012863028684575
23 184 0 0 0 0.7799706715687583 0.6008059321669028
24 192 0 0 0 0.7601197592083034 0.5935791409042231
25 200 0 0 0 0.8394806225865646 0.7009866457888453
26 208 0 0 0 0.7749854173271329 0.6088962912534661
27 216 0 0 0 0.8362062638813859 0.6975387009826364
28 224 0 0 0 0.8670436996043823 0.7503847871447087
29 232 0 0 0 0.8671393333655059 0.7564185194441313
30 240 0 0 0 0.8940442563161198 0.7995173106577429
31 248 0 0 0 0.9367110011464393 0.8685021707174096
32 256 0 0 0 0.8967823078982325 0.8056470188960786
33 264 0 0 0 0.91882858675927 0.8410724585685782
34 272 0 0 0 0.931377013742396 0.8625823067845194
35 280 0 0 0 0.9298433903859364 0.8627643765275512
36 288 0 0 0 0.9466786800979375 0.8940289458781936
37 296 0 0 0 0.9551470712753399 0.9095656469552742
38 304 0 0 0 0.9770096574074142 0.9539700652786258
39 312 0 0 0 1.0095560756843085 1.0181147635019168
40 320 0 0 0 0.9996918077809815 0.9982520818179361
41 328 0 0 0 0.9923121234974137 0.9847479306345955
